stature_m,buttockheight,waistdepth,span,waistcircumference,shouldercircumference,footlength,handlength,functionalleglength,chestheight,chestcircumference,cervicaleheight,sittingheight
1.776,882,240,1782,933,1151,273,193,1136,1292,1074,1535,928
1.702,870,225,1745,870,1119,263,195,1096,1244,1021,1471,884
1.735,901,255,1867,964,1276,270,203,1115,1288,1120,1501,917
1.655,821,205,1708,857,1155,267,194,1034,1205,1114,1423,903
1.914,1080,214,2035,868,1231,305,218,1279,1452,1048,1684,919
1.72,871,244,1817,950,1172,254,190,1126,1253,1066,1489,898
1.81,919,274,1965,1073,1331,285,220,1202,1372,1208,1571,957
1.85,950,267,1939,1010,1188,281,198,1169,1359,1087,1612,952
1.777,926,300,1812,1065,1212,266,197,1154,1312,1181,1536,922
1.811,944,212,1918,824,1094,278,200,1143,1340,964,1564,932
1.78,879,254,1840,994,1203,265,200,1093,1311,1117,1527,969
1.733,937,212,1823,866,1126,256,194,1136,1272,961,1509,871
1.814,989,260,1995,986,1275,291,210,1217,1367,1151,1597,906
1.861,976,267,1956,1045,1354,274,194,1219,1374,1231,1623,966
1.709,856,243,1726,1007,1149,266,184,1144,1254,1060,1476,918
1.74,946,297,1883,1033,1224,278,203,1183,1306,1092,1511,864
1.694,852,231,1739,908,1145,270,188,1128,1265,1085,1461,899
1.766,910,268,1828,1028,1152,270,203,1140,1331,1118,1522,929
1.748,904,208,1749,874,1140,266,179,1132,1293,999,1518,915
1.794,898,259,1850,999,1146,277,198,1143,1322,1127,1533,969
1.78,895,199,1846,837,1125,275,195,1146,1276,1000,1520,949
1.68,820,216,1695,880,1121,254,185,1063,1262,977,1443,914
1.653,877,241,1706,978,1170,267,180,1089,1216,1079,1423,867
1.959,1057,208,2072,827,1203,301,227,1286,1506,1011,1707,959
1.755,893,273,1809,1030,1160,277,194,1133,1291,1098,1509,945
1.63,825,228,1655,885,1031,263,181,1042,1174,957,1410,874
1.825,951,300,1876,1130,1238,266,199,1145,1343,1158,1564,961
1.795,896,229,1828,912,1095,275,192,1132,1316,964,1550,958
1.745,900,219,1803,864,1084,278,193,1140,1290,971,1500,906
1.818,901,242,1807,965,1135,271,196,1130,1325,1057,1568,980
1.881,944,186,1898,777,1141,262,192,1198,1376,957,1620,983
1.76,903,275,1863,1063,1141,273,201,1127,1292,1108,1521,933
1.675,850,226,1749,870,1040,269,187,1075,1239,947,1447,880
1.852,989,240,1941,966,1182,280,195,1189,1350,1043,1615,933
1.785,898,213,1803,806,1123,265,193,1107,1307,965,1525,932
1.791,920,282,1894,1096,1154,284,194,1207,1314,1174,1542,927
1.685,862,225,1757,895,1013,236,183,1124,1227,951,1452,882
1.85,963,316,1908,1214,1253,295,197,1234,1372,1182,1616,959
1.737,897,202,1854,790,1147,284,210,1140,1263,981,1488,900
1.743,860,263,1769,1002,1209,275,196,1097,1261,1086,1484,931
1.744,900,187,1773,748,1012,250,184,1088,1311,865,1501,932
1.679,874,291,1749,1043,1233,258,189,1096,1246,1205,1440,857
1.836,912,210,1810,864,1150,293,206,1119,1374,1013,1583,992
1.73,893,226,1765,969,1244,269,190,1127,1249,1152,1501,913
1.762,899,273,1810,1095,1167,272,198,1188,1279,1096,1522,927
1.669,805,193,1724,770,1086,256,190,1017,1190,957,1411,921
1.74,844,219,1766,840,1100,260,200,1131,1249,985,1490,940
1.709,908,270,1766,1028,1190,237,183,1113,1239,1063,1485,918
1.879,970,277,1876,1021,1195,295,212,1174,1392,1137,1601,999
1.674,831,282,1716,1061,1123,255,184,1106,1220,1106,1440,890
1.779,911,288,1803,1139,1254,287,206,1168,1306,1166,1530,929
1.844,939,230,1929,922,1164,279,203,1161,1370,1081,1596,946
1.637,847,265,1680,995,1073,255,187,1067,1229,1006,1426,867
1.754,907,281,1786,1047,1187,268,185,1163,1289,1153,1519,932
1.704,842,223,1709,885,1155,265,190,1076,1223,1037,1456,918
1.84,971,406,1993,1379,1309,283,213,1279,1349,1469,1600,954
1.783,973,192,1922,750,1093,282,196,1140,1343,901,1543,879
1.748,882,248,1737,970,1184,253,187,1103,1268,1071,1501,939
1.703,898,288,1815,1068,1252,267,189,1090,1285,1263,1492,904
1.852,936,251,1902,1012,1234,286,205,1190,1365,1146,1597,965
1.609,841,193,1676,754,1035,249,178,1010,1208,858,1388,852
1.709,909,235,1797,926,1130,248,184,1122,1248,1044,1476,867
1.835,950,205,1879,827,1065,270,193,1153,1357,904,1577,966
1.679,883,239,1805,940,1141,264,191,1150,1217,1033,1457,882
1.742,912,312,1811,1133,1161,267,197,1155,1268,1160,1504,919
1.698,885,207,1683,843,1037,264,178,1090,1251,971,1465,895
1.671,840,270,1764,1021,1112,248,180,1082,1192,1050,1443,899
1.85,969,291,1878,1061,1258,284,199,1243,1360,1213,1605,963
1.754,884,192,1830,786,1117,264,190,1114,1300,944,1509,915
1.619,842,217,1705,855,1143,255,184,1096,1179,989,1407,853
1.772,917,196,1810,830,1116,274,196,1106,1304,975,1521,930
1.705,922,193,1832,743,1067,278,203,1147,1279,939,1460,834
1.619,815,246,1699,967,1143,256,180,1045,1191,1091,1381,868
1.726,870,226,1735,922,1156,256,181,1074,1253,983,1470,953
1.84,963,291,1846,1120,1192,273,195,1200,1361,1129,1587,943
1.743,894,284,1798,1060,1217,256,181,1155,1264,1205,1509,918
1.674,845,277,1743,1030,1201,256,190,1147,1227,1123,1448,899
1.75,938,244,1876,974,1264,299,210,1150,1288,1129,1540,895
1.819,935,210,1886,844,1271,274,200,1174,1348,1048,1562,947
1.799,957,254,1894,969,1189,297,208,1207,1326,1063,1551,910
1.75,932,260,1813,1010,1173,255,188,1189,1296,1098,1525,900
1.723,914,227,1830,892,1140,260,191,1123,1285,972,1493,884
1.809,948,281,1798,1032,1142,278,201,1168,1347,1127,1573,928
1.791,888,214,1807,851,1142,272,190,1123,1302,963,1532,967
1.723,879,253,1801,979,1193,260,191,1157,1276,1098,1479,901
1.578,746,217,1536,857,1013,233,165,1035,1116,953,1333,863
1.718,882,245,1797,979,1116,273,192,1092,1270,1024,1481,898
1.799,898,247,1785,984,1151,268,194,1144,1305,1043,1538,978
1.74,939,186,1819,721,1095,268,194,1146,1290,902,1495,875
1.702,870,227,1765,885,1137,268,204,1071,1235,1008,1459,914
1.737,898,237,1798,961,1187,269,197,1082,1288,1027,1510,921
1.73,874,257,1744,996,1142,266,187,1110,1314,1044,1502,913
1.785,901,209,1774,838,1064,268,192,1116,1307,917,1525,962
1.817,960,190,1954,752,1096,287,203,1151,1336,917,1567,927
1.843,955,198,1876,775,1128,277,202,1160,1364,924,1580,948
1.791,950,184,1875,809,1179,264,195,1154,1345,994,1546,919
1.657,845,212,1663,862,1128,248,175,1099,1223,1001,1419,862
1.701,895,267,1749,1027,1124,265,184,1131,1251,1069,1464,891
1.786,880,207,1855,797,1148,262,186,1107,1298,995,1533,955
1.755,894,289,1813,1082,1197,269,195,1135,1294,1104,1515,930
1.791,920,247,1883,942,1157,274,204,1152,1332,1045,1560,910
1.759,890,208,1778,871,1127,275,182,1124,1288,1015,1519,928
1.79,914,253,1862,912,1195,269,191,1196,1310,1109,1536,927
1.782,896,218,1691,873,1123,260,183,1146,1297,991,1530,963
1.839,950,211,1826,785,961,282,201,1175,1377,844,1584,968
1.88,977,261,1909,1023,1154,280,197,1265,1407,1176,1651,931
1.738,897,244,1828,924,1222,278,192,1088,1276,1085,1498,948
1.734,886,273,1816,1001,1194,270,196,1141,1272,1085,1498,919
1.819,998,241,1990,901,1220,284,204,1159,1341,1021,1588,921
1.683,884,245,1748,958,1162,265,194,1128,1257,1096,1446,890
1.815,953,234,1837,972,1156,275,192,1185,1340,1063,1587,945
1.815,906,238,1799,939,1154,279,199,1152,1329,1030,1573,974
1.673,845,279,1724,1003,1197,246,177,1051,1223,1106,1438,908
1.831,931,308,1880,1139,1243,285,209,1226,1353,1163,1579,967
1.795,959,319,1752,1162,1161,263,191,1156,1311,1089,1552,926
1.845,960,294,1918,1111,1228,275,197,1228,1352,1149,1595,961
1.687,836,223,1727,900,1127,246,182,1009,1229,1041,1432,940
1.756,918,271,1786,998,1117,274,190,1137,1279,1056,1518,928
1.846,1011,373,1919,1330,1368,294,208,1275,1411,1358,1627,927
1.657,836,228,1719,897,1219,254,180,1087,1196,1025,1431,897
1.632,841,222,1723,911,1105,257,174,1070,1186,1000,1400,857
1.735,895,230,1858,861,1186,267,192,1119,1280,1026,1494,916
1.726,889,229,1745,920,1064,269,185,1086,1252,989,1499,925
1.877,962,330,1914,1192,1258,283,207,1229,1432,1251,1642,986
1.887,959,251,1915,1012,1183,289,205,1184,1385,1030,1608,1007
1.765,987,224,1855,845,1060,284,200,1183,1322,970,1530,878
1.793,988,214,1917,843,1201,280,196,1142,1327,1035,1561,903
1.849,930,233,1916,910,1268,288,203,1196,1371,1076,1577,992
1.811,945,217,1892,879,1151,263,197,1149,1332,1038,1576,944
1.739,891,265,1786,1031,1210,276,191,1131,1292,1113,1524,930
1.668,872,228,1716,929,1085,275,185,1129,1227,1011,1443,843
1.788,926,241,1891,994,1144,270,196,1220,1297,1024,1548,941
1.746,962,214,1869,815,1182,281,208,1189,1297,997,1522,857
1.75,933,254,1812,983,1165,265,196,1112,1291,1057,1502,908
1.81,923,249,1883,1004,1242,285,206,1164,1355,1082,1558,951
1.71,853,204,1707,825,1115,260,188,1053,1250,1002,1477,930
1.847,971,273,1978,1077,1223,288,204,1219,1371,1132,1601,956
1.811,929,225,1780,952,1162,276,183,1145,1345,1123,1564,945
1.78,956,281,1977,1047,1286,296,222,1170,1311,1175,1558,906
1.74,898,212,1762,851,1170,259,188,1107,1273,1021,1499,943
1.797,919,221,1846,920,1224,278,197,1150,1333,1115,1535,944
1.755,927,240,1827,934,1241,282,189,1180,1294,1112,1526,896
1.842,972,281,1937,1114,1248,286,205,1255,1334,1165,1609,949
1.656,869,224,1733,967,1157,259,180,1089,1210,1056,1445,868
1.776,908,256,1827,1007,1183,272,190,1160,1293,1048,1536,940
1.859,989,301,1836,1109,1199,284,195,1208,1363,1137,1604,980
1.685,850,212,1732,827,1154,266,190,1036,1224,1041,1471,926
1.775,918,224,1811,947,1176,278,190,1158,1277,1027,1535,951
1.825,1014,225,2007,881,1162,290,211,1237,1356,1021,1598,892
1.931,1015,198,2012,833,1168,284,204,1254,1430,1001,1682,989
1.789,944,244,1857,963,1235,275,192,1160,1298,1126,1539,952
1.819,953,301,1875,1100,1295,281,195,1156,1365,1225,1575,955
1.782,919,208,1824,852,1216,262,188,1132,1293,1070,1544,933
1.721,880,240,1740,941,1200,259,183,1123,1279,1102,1484,944
1.91,1004,250,1989,1026,1314,298,210,1290,1400,1194,1663,968
1.804,945,251,1890,978,1181,276,199,1185,1349,1097,1576,939
1.782,950,306,1827,1150,1235,270,201,1197,1302,1208,1533,908
1.777,931,245,1809,935,1245,272,177,1206,1337,1116,1539,917
1.665,830,227,1769,923,1096,260,188,1072,1234,995,1415,909
1.803,950,255,1855,973,1183,263,185,1177,1357,1092,1555,940
1.879,1008,226,2022,908,1272,300,218,1252,1389,1079,1628,945
1.733,899,288,1776,1111,1226,249,183,1123,1275,1179,1512,902
1.835,978,276,1892,1031,1204,278,200,1213,1350,1084,1608,949
1.792,939,278,1819,1164,1248,277,196,1176,1333,1150,1547,955
1.721,870,242,1749,1006,1149,272,187,1055,1244,1098,1482,938
1.711,888,268,1756,1018,1175,262,183,1138,1278,1142,1489,903
1.809,945,231,1817,992,1216,268,184,1137,1346,1071,1561,959
1.664,869,215,1706,908,1168,261,179,1117,1255,1021,1435,871
1.807,933,247,1893,1053,1212,279,207,1147,1336,1241,1561,970
1.705,887,222,1766,912,1128,270,185,1107,1261,1027,1473,906
1.955,1021,265,2076,1049,1291,299,222,1287,1458,1167,1698,1009
1.73,875,230,1771,917,1190,274,185,1154,1267,1082,1484,924
1.774,927,290,1812,1066,1184,278,194,1177,1278,1139,1531,931
1.724,912,199,1710,848,1080,260,177,1133,1268,947,1497,912
1.705,888,200,1762,759,1097,260,195,1070,1251,948,1458,904
1.838,950,251,1877,959,1151,274,196,1185,1363,1058,1601,945
1.706,892,242,1706,970,1203,245,185,1131,1260,1102,1463,902
1.809,960,292,1895,1068,1225,272,198,1214,1357,1179,1577,927
1.773,933,251,1823,972,1134,282,197,1134,1302,1028,1549,917
1.734,886,261,1746,993,1109,271,196,1137,1288,1048,1506,923
1.748,898,228,1821,898,1134,268,187,1127,1267,969,1509,914
1.651,832,246,1689,964,1186,262,182,1047,1210,1125,1412,915
1.724,885,211,1873,881,1107,275,193,1165,1269,1049,1498,873
1.86,954,207,1912,821,1122,286,207,1231,1379,957,1615,960
1.715,875,200,1750,801,1085,266,185,1126,1267,913,1464,913
1.757,919,227,1807,845,1126,279,196,1132,1287,995,1521,932
1.916,979,271,1963,1134,1252,292,204,1245,1412,1237,1665,1001
1.847,992,217,1904,877,1173,280,198,1225,1379,1018,1594,913
1.855,990,222,1969,951,1270,289,203,1228,1372,1059,1610,937
1.718,880,223,1757,867,1083,261,186,1094,1267,907,1467,930
1.641,806,275,1690,1029,1178,257,185,1059,1183,1063,1404,897
1.833,945,204,1891,879,1171,293,204,1183,1352,1017,1568,950
1.784,939,263,1835,1015,1254,292,195,1153,1354,1130,1570,947
1.77,892,263,1856,1034,1256,283,206,1193,1288,1156,1522,932
1.702,877,198,1721,844,1107,247,183,1089,1266,978,1456,918
1.8,933,189,1843,797,1151,255,189,1123,1307,963,1557,946
1.715,918,215,1801,892,1081,265,194,1117,1267,965,1480,897
1.842,944,214,1803,865,1153,277,189,1220,1366,956,1593,991
1.71,880,278,1759,1031,1158,276,188,1078,1271,1080,1475,917
1.753,951,235,1882,912,1215,283,201,1148,1310,1078,1542,905
1.935,1015,259,1934,1086,1243,278,200,1259,1421,1158,1677,1030
1.738,909,236,1777,914,1105,258,195,1111,1268,1013,1505,911
1.77,926,223,1852,923,1189,256,190,1178,1309,1037,1530,899
1.72,917,223,1856,918,1193,277,193,1152,1287,1039,1503,887
1.673,831,217,1695,831,1082,240,175,1076,1235,985,1445,909
1.715,883,321,1684,1182,1293,266,183,1128,1274,1285,1490,949
1.822,947,276,1813,1054,1155,266,195,1199,1336,1082,1583,955
1.913,981,303,1908,1118,1243,286,195,1238,1402,1157,1661,1019
1.756,919,242,1799,963,1187,269,193,1155,1314,1049,1516,943
1.735,881,224,1776,877,1205,253,184,1092,1266,1063,1491,920
1.726,908,243,1929,912,1230,285,208,1162,1270,1061,1489,884
1.716,871,260,1778,973,1242,260,187,1065,1275,1120,1479,921
1.717,879,220,1754,818,1029,257,190,1090,1265,913,1488,917
1.718,915,198,1764,783,1103,262,197,1112,1267,941,1483,884
1.747,923,250,1866,1015,1260,284,200,1136,1270,1151,1512,908
1.567,861,175,1647,694,995,243,172,991,1133,810,1351,801
1.894,972,303,1825,1121,1217,274,196,1194,1364,1163,1618,1030
1.738,927,223,1780,870,1151,264,188,1110,1271,972,1495,910
1.862,1002,254,1950,1015,1218,294,203,1231,1391,1091,1618,954
1.654,858,181,1644,738,1012,241,165,1063,1196,846,1421,871
1.637,845,287,1679,1032,1153,247,183,1059,1226,1092,1402,886
1.738,884,228,1829,979,1231,272,190,1124,1264,1071,1507,921
1.813,1024,261,1959,1017,1261,287,205,1208,1347,1172,1585,906
1.738,970,226,1884,883,1163,295,200,1170,1302,1035,1499,860
1.815,980,268,1949,1068,1288,300,217,1226,1323,1203,1595,933
1.736,860,308,1732,1179,1183,267,182,1149,1262,1212,1498,954
1.689,866,242,1719,993,1174,275,181,1138,1247,1047,1454,898
1.74,913,215,1790,880,1065,253,185,1150,1266,977,1527,921
1.782,942,257,1832,977,1104,269,195,1138,1326,1014,1548,938
1.784,961,231,1842,925,1133,271,201,1135,1292,1041,1533,930
1.647,861,260,1701,1010,1167,252,179,1127,1222,1082,1422,870
1.74,888,246,1776,1004,1197,268,187,1131,1276,1166,1498,930
1.664,857,186,1768,744,1083,273,193,1118,1226,967,1432,898
1.805,945,266,1913,1045,1235,290,201,1218,1342,1171,1569,925
1.745,932,240,1857,936,1206,267,187,1181,1303,1078,1519,883
1.605,843,199,1708,755,1139,257,186,1096,1180,963,1382,849
1.83,976,241,1960,997,1215,271,199,1213,1395,1101,1582,935
1.81,967,229,1881,913,1171,269,194,1204,1349,1053,1569,917
1.731,886,235,1746,921,1118,244,178,1085,1278,1027,1487,915
1.845,964,215,1868,899,1122,295,195,1188,1364,972,1592,960
1.775,965,189,1907,734,1112,288,204,1154,1324,915,1523,897
1.795,926,292,1838,1124,1253,276,187,1187,1299,1142,1555,934
1.664,891,274,1773,976,1170,267,200,1117,1218,1081,1426,857
1.752,906,286,1809,1084,1176,263,187,1175,1299,1108,1527,928
1.814,963,275,1893,1026,1143,269,204,1150,1357,1069,1577,941
1.836,981,282,1904,1078,1265,282,197,1228,1357,1140,1609,955
1.628,849,260,1671,972,1107,248,183,1056,1198,1018,1411,885
1.64,835,217,1760,903,1214,253,193,1099,1199,1096,1426,881
1.728,850,237,1798,928,1209,280,204,1095,1269,1127,1487,934
1.606,821,182,1677,779,1025,244,176,1052,1173,907,1360,864
1.861,878,303,1869,1149,1298,265,197,1211,1361,1241,1603,1013
1.761,923,267,1849,992,1204,266,194,1153,1292,1092,1525,897
1.754,953,257,1874,989,1283,284,200,1193,1305,1178,1528,913
1.741,898,235,1774,933,1118,254,184,1120,1285,1031,1493,916
1.657,846,175,1684,744,1026,251,180,1054,1206,872,1424,878
1.66,881,171,1777,714,1081,257,184,1080,1216,884,1437,873
1.678,840,319,1616,1147,1128,258,183,1076,1223,1121,1438,923
1.735,929,264,1807,976,1110,275,202,1131,1293,1063,1517,908
1.75,923,296,1867,1077,1283,288,200,1132,1295,1242,1523,923
1.701,863,206,1775,835,1108,263,190,1068,1240,949,1463,908
1.742,901,198,1823,797,1133,267,201,1115,1307,953,1516,927
1.818,943,248,1879,969,1223,284,199,1209,1334,1106,1585,950
1.785,945,222,1898,918,1239,276,205,1145,1325,1094,1538,942
1.666,890,198,1766,776,1109,266,188,1095,1217,954,1441,853
1.781,940,319,1850,1124,1298,273,192,1145,1329,1242,1547,937
1.802,976,286,1891,1146,1259,274,194,1222,1349,1166,1590,943
1.669,856,200,1770,797,1110,257,184,1071,1182,904,1410,889
1.837,937,253,1911,1032,1128,298,210,1216,1368,1071,1590,976
1.881,987,261,1997,1005,1275,276,204,1236,1401,1182,1639,965
1.782,933,222,1852,921,1192,274,189,1138,1308,1052,1555,955
1.9,1005,296,2035,1132,1261,294,220,1228,1437,1162,1660,961
1.755,887,251,1793,988,1162,271,190,1111,1285,1069,1502,954
1.73,874,209,1718,797,1074,266,194,1110,1277,957,1480,937
1.624,849,232,1766,897,1141,248,195,1069,1217,1020,1410,843
1.755,920,315,1875,1145,1232,259,187,1154,1304,1198,1532,920
1.703,888,264,1755,1003,1097,263,190,1128,1243,1079,1463,880
1.762,939,312,1832,1175,1233,272,195,1158,1325,1172,1531,912
1.72,863,246,1806,987,1128,251,200,1148,1260,1008,1488,910
1.711,880,271,1781,1043,1184,255,180,1131,1268,1168,1478,895
1.927,1013,213,2022,842,1181,297,225,1220,1454,1027,1652,993
1.784,927,243,1831,915,1129,277,199,1110,1326,1068,1528,943
1.835,946,273,1828,1076,1253,277,187,1189,1346,1139,1591,1000
1.823,941,244,1907,968,1200,288,198,1146,1339,1076,1575,977
1.64,843,206,1739,822,1132,253,181,1064,1195,1045,1398,863
1.704,873,284,1844,1108,1228,264,196,1137,1257,1231,1475,898
1.73,970,172,1852,719,1095,268,193,1117,1272,913,1502,867
1.656,834,216,1746,869,1112,263,190,1090,1213,960,1430,896
1.668,868,245,1778,931,1220,272,195,1056,1229,1043,1442,880
1.635,816,242,1712,939,1175,252,180,1078,1198,1089,1412,898
1.861,970,219,1960,884,1191,295,209,1206,1396,1019,1616,957
1.667,855,237,1729,912,1167,266,186,1067,1195,1097,1430,900
1.76,917,205,1794,812,1132,263,185,1171,1323,963,1535,937
1.752,883,245,1789,957,1208,266,184,1131,1287,1074,1504,941
1.886,940,247,1928,1008,1265,294,204,1213,1388,1069,1635,1011
1.729,874,304,1801,1121,1172,270,200,1187,1260,1168,1499,894
1.79,896,239,1811,946,1208,270,193,1166,1333,1087,1557,939
1.745,859,279,1790,1029,1207,268,190,1118,1232,1173,1510,964
1.677,863,232,1743,913,1123,244,186,1090,1221,1002,1453,905
1.725,891,199,1859,828,1154,277,197,1088,1283,1022,1507,893
1.748,907,239,1815,972,1155,284,201,1175,1296,1076,1530,915
1.61,848,171,1673,694,968,249,187,998,1183,820,1378,856
1.705,819,223,1723,872,1141,250,178,1071,1218,1030,1450,947
1.833,943,243,1896,1010,1211,283,200,1225,1354,1131,1605,960
1.82,921,285,1849,1141,1242,273,193,1151,1342,1183,1570,983
1.776,899,225,1797,908,1142,276,195,1143,1305,999,1544,945
1.791,954,305,1872,1091,1299,293,200,1202,1338,1115,1553,927
1.97,1071,240,2073,948,1209,306,221,1306,1477,1072,1718,985
1.814,952,237,1929,944,1210,284,207,1192,1317,1063,1575,928
1.782,921,235,1856,1012,1162,281,194,1180,1309,1099,1549,939
1.717,881,220,1800,893,1148,267,197,1117,1259,1043,1499,911
1.86,954,256,1920,992,1227,288,210,1198,1373,1113,1627,990
1.763,864,237,1796,939,1214,267,190,1185,1272,1121,1510,945
1.624,844,222,1693,912,1103,251,175,1063,1192,1015,1397,889
1.723,892,238,1774,942,1130,258,183,1129,1257,1011,1500,920
1.674,862,221,1708,848,1163,243,177,1050,1207,1058,1436,926
1.744,943,233,1856,877,1153,294,206,1163,1315,1034,1523,886
1.748,946,307,1907,1086,1230,277,197,1164,1292,1138,1538,879
1.805,957,225,1862,902,1061,273,204,1209,1323,937,1562,932
1.775,931,197,1826,826,1104,265,197,1159,1319,953,1537,908
1.73,888,210,1785,815,1080,273,197,1068,1272,976,1470,911
1.74,936,225,1789,919,1118,262,178,1180,1278,1008,1519,898
