Gender,weight_kg,stature_m,footlength,headlength
Male,86.6,1.791,274,193
Male,74.2,1.759,275,180
Male,92.0,1.79,269,208
Male,81.4,1.782,260,196
Male,64.6,1.839,282,201
Male,95.4,1.88,280,198
Male,85.3,1.738,278,203
Male,90.0,1.734,270,207
Male,83.5,1.819,284,204
Male,85.1,1.683,265,211
Male,89.7,1.815,275,203
Male,87.2,1.815,279,192
Male,82.2,1.673,246,192
Male,111.2,1.831,285,206
Male,98.7,1.795,263,200
Male,110.5,1.845,275,209
Male,78.2,1.687,246,199
Male,86.9,1.756,274,195
Male,141.3,1.846,294,207
Male,78.9,1.657,254,189
Male,69.0,1.632,257,194
Male,79.2,1.735,267,201
Male,69.9,1.726,269,195
Male,121.2,1.877,283,209
Male,87.8,1.887,289,200
Male,70.6,1.765,284,191
Male,82.2,1.793,280,193
Male,99.2,1.849,288,215
Male,76.0,1.811,263,192
Male,98.8,1.739,276,200
Male,75.9,1.668,275,198
Male,89.8,1.788,270,201
Male,78.2,1.746,281,203
Male,83.1,1.75,265,197
Male,99.6,1.81,285,212
Male,74.2,1.71,260,188
Male,96.8,1.847,288,200
Male,91.6,1.811,276,197
Male,108.0,1.78,296,198
Male,78.8,1.74,259,212
Male,94.9,1.797,278,206
Male,90.6,1.755,282,194
Male,106.9,1.842,286,208
Male,87.4,1.656,259,198
Male,87.9,1.776,272,204
Male,115.4,1.859,284,203
Male,79.0,1.685,266,190
Male,88.7,1.775,278,197
Male,86.6,1.825,290,205
Male,80.6,1.931,284,212
Male,96.6,1.789,275,203
Male,109.9,1.819,281,204
Male,77.1,1.782,262,199
Male,95.1,1.721,259,194
Male,111.8,1.91,298,212
Male,89.5,1.804,276,190
Male,106.0,1.782,270,208
Male,95.1,1.777,272,198
Male,72.1,1.665,260,200
Male,87.2,1.803,263,200
Male,97.8,1.879,300,209
Male,97.4,1.733,249,193
Male,95.8,1.835,278,207
Male,112.3,1.792,277,200
Male,90.0,1.721,272,200
Male,94.8,1.711,262,201
Male,95.0,1.809,268,196
Male,73.9,1.664,261,191
Male,103.6,1.807,279,205
Male,77.7,1.705,270,205
Male,108.0,1.955,299,215
Male,84.0,1.73,274,198
Male,96.4,1.774,278,206
Male,70.7,1.724,260,200
Male,70.5,1.705,260,207
Male,85.1,1.838,274,201
Male,86.5,1.706,245,203
Male,97.2,1.809,272,209
Male,82.2,1.773,282,203
Male,84.2,1.734,271,195
Male,72.3,1.748,268,201
Male,89.6,1.651,262,201
Male,75.5,1.724,275,198
Male,73.2,1.86,286,206
Male,70.1,1.715,266,205
Male,78.3,1.757,279,200
Male,116.4,1.916,292,205
Male,79.9,1.847,280,199
Male,90.8,1.855,289,206
Male,67.7,1.718,261,194
Male,85.8,1.641,257,201
