headbreadth,headcircumference,headlength,tragiontopofhead
150,583,206,140
146,568,201,120
148,573,202,125
158,576,199,127
153,566,197,122
155,576,198,132
158,612,211,139
156,551,185,131
160,578,198,128
146,549,190,116
155,578,200,142
148,548,189,126
154,580,199,118
165,606,208,134
160,565,186,128
152,567,199,133
160,575,195,133
153,554,188,130
150,567,196,126
150,582,204,135
150,588,202,132
149,568,197,132
150,573,203,140
153,575,201,135
159,600,211,132
155,552,187,137
154,590,206,130
155,575,196,115
150,571,203,130
148,568,200,128
149,583,206,132
153,595,213,134
153,554,188,128
152,570,202,126
149,560,197,136
149,578,205,135
150,562,193,138
144,577,204,127
145,583,205,123
160,605,204,135
155,577,202,139
152,563,197,133
156,594,207,124
160,590,200,138
146,568,206,131
162,573,190,145
144,550,193,124
153,583,203,136
155,590,201,128
149,558,193,125
150,563,197,135
152,582,208,128
144,530,183,111
152,574,197,133
157,578,201,126
160,595,200,135
151,568,193,126
152,582,204,123
168,574,192,120
158,580,200,130
155,557,193,131
154,564,193,131
148,566,200,132
154,547,190,124
155,566,192,137
157,567,193,135
158,569,190,140
161,600,212,130
148,552,193,120
155,575,195,130
155,570,201,138
154,574,200,125
154,580,198,139
152,592,211,140
161,583,200,130
148,569,204,128
158,557,185,132
153,585,207,126
147,563,200,141
168,628,218,149
148,587,212,131
154,583,206,136
144,567,202,132
159,600,208,144
154,584,203,133
150,541,185,136
153,570,196,125
157,566,195,135
149,555,197,125
159,570,194,134
155,574,198,130
157,568,194,131
153,580,203,129
143,552,193,125
151,573,205,133
143,564,198,132
153,560,191,129
151,530,178,122
158,592,205,138
152,585,209,130
147,553,193,130
165,563,180,138
152,593,208,133
158,575,196,135
146,565,201,129
158,582,198,128
151,577,203,128
153,585,207,133
151,580,204,135
154,601,211,144
153,571,203,123
163,565,192,142
157,562,192,140
158,594,206,140
149,574,200,127
155,600,209,137
154,567,199,130
147,566,195,132
160,594,207,130
158,563,189,131
162,571,194,134
153,577,201,133
154,575,195,128
155,600,209,133
160,585,200,132
147,548,191,123
147,557,193,122
164,625,215,138
158,556,192,126
163,578,200,131
153,565,198,131
156,581,201,127
153,591,203,128
151,563,197,132
153,596,212,132
156,553,188,134
148,560,200,132
145,561,197,127
150,570,198,130
153,595,212,138
161,582,206,137
154,560,194,131
161,595,208,142
154,580,198,121
158,582,204,138
164,603,203,143
163,555,190,135
154,565,197,137
151,580,205,131
150,584,212,137
148,576,203,138
152,584,204,133
160,577,199,135
147,560,194,132
161,606,212,132
153,557,190,131
164,602,208,145
158,570,198,133
152,570,200,136
153,578,200,133
160,589,209,138
154,565,193,135
155,588,207,134
164,585,200,137
157,581,200,133
156,580,201,141
157,570,196,126
157,558,191,128
155,575,205,139
154,582,205,135
158,608,215,130
150,575,198,128
150,585,206,126
149,565,200,131
155,593,207,130
151,573,201,132
150,588,203,139
150,580,209,127
139,570,203,133
148,560,195,128
153,572,201,134
153,577,201,133
151,556,198,131
153,577,206,138
151,580,205,125
145,575,200,123
152,577,205,135
150,565,199,127
156,588,206,133
150,567,194,118
152,571,201,132
145,550,193,125
156,577,201,132
163,595,200,143
157,555,191,134
151,595,213,139
161,570,192,137
144,565,198,130
165,592,205,139
156,575,201,124
150,585,206,127
142,553,197,127
153,565,198,129
152,577,203,135
163,562,185,137
160,583,200,133
150,578,204,128
148,560,196,133
156,582,203,127
155,590,205,127
156,566,193,135
154,557,188,130
151,553,190,140
144,562,206,125
177,613,202,140
136,518,182,124
163,621,218,148
145,546,193,124
160,603,210,136
148,535,183,136
148,556,192,127
161,583,195,136
144,566,203,126
144,564,203,137
160,591,210,129
154,583,199,128
155,583,203,143
145,543,187,125
158,577,200,135
149,565,197,137
157,566,192,130
156,576,200,130
151,564,199,135
158,590,206,137
154,588,206,140
138,530,185,118
159,584,202,143
156,566,195,137
153,578,203,145
155,555,193,140
151,550,195,124
157,607,217,133
160,571,193,136
160,590,200,140
151,552,187,125
157,603,213,133
153,574,200,124
153,560,194,128
162,600,207,140
162,543,176,131
160,602,206,140
160,562,184,136
155,583,202,130
153,568,196,130
151,516,172,125
149,530,176,126
158,577,193,132
150,567,192,137
177,597,201,131
157,582,198,140
154,588,210,136
161,618,220,142
160,575,200,138
152,564,202,133
158,592,202,137
152,594,210,138
144,570,198,131
147,555,196,128
163,584,195,141
163,593,206,142
158,577,201,136
153,583,201,127
150,563,194,140
147,544,190,125
150,578,205,136
149,560,195,140
150,577,202,133
152,543,188,127
161,563,192,134
142,576,215,140
159,555,183,132
156,594,210,126
153,584,204,130
150,573,200,127
166,604,210,140
154,570,198,129
154,566,196,136
153,573,201,126
157,566,197,134
155,575,200,137
164,596,206,140
159,584,204,127
147,575,200,130
150,564,196,139
155,583,203,128
151,600,211,120
167,595,205,141
152,550,192,130
153,558,190,126
156,575,197,130
152,562,192,134
156,590,212,140
163,581,198,139
153,572,196,137
158,573,195,139
157,602,212,135
156,580,206,138
157,608,212,137
150,545,185,129
148,572,202,128
156,568,199,125
171,590,193,150
148,563,194,126
150,553,194,134
158,552,182,130
160,590,204,137
153,575,204,130
160,560,188,138
154,567,196,134
150,583,206,135
154,550,190,121
148,580,204,130
154,555,194,135
150,573,202,136
150,572,196,141
150,562,197,125
156,580,202,126
161,615,217,147
151,570,198,130
158,602,209,139
153,586,206,135
160,605,212,132
153,555,190,128
150,563,197,126
159,583,201,140
151,558,197,128
141,556,199,132
157,577,200,140
155,571,200,135
148,536,182,126
155,566,200,133
161,580,198,140
152,555,193,128
146,550,193,129
163,588,207,130
150,547,194,122
161,598,206,142
162,587,204,134
154,548,187,128
149,550,199,122
147,553,198,135
153,568,200,128
156,599,210,132
157,587,205,136
164,595,205,139
146,566,195,130
156,578,198,142
153,578,197,131
145,560,194,141
150,563,196,133
154,563,198,134
148,567,197,136
150,547,189,134
160,563,192,132
165,578,201,143
160,573,194,127
147,584,204,143
155,588,205,129
150,560,196,125
165,589,199,146
154,602,206,145
166,590,206,143
158,570,199,133
160,603,213,134
150,568,193,133
145,550,186,124
159,595,210,140
156,586,204,140
155,575,201,130
150,580,205,145
162,578,197,144
155,600,211,137
160,599,207,129
156,588,204,136
156,590,201,131
157,572,195,142
153,579,201,132
162,570,189,140
161,608,215,130
158,577,193,135
154,554,189,132
151,578,199,136
152,573,196,136
154,582,203,126
157,585,198,131
156,570,196,133
153,575,203,133
152,590,204,133
155,568,190,135
149,570,198,143
155,570,203,130
150,553,194,144
149,553,181,124
147,565,200,135
154,592,211,145
152,561,196,127
147,570,201,133
157,580,196,145
155,579,203,127
155,580,201,133
163,592,197,130
147,588,207,132
162,574,195,130
161,596,209,134
159,594,209,146
153,558,186,131
148,578,203,135
150,576,199,134
157,588,210,134
153,556,196,136
150,555,198,131
157,573,200,132
161,577,200,133
158,561,187,126
154,593,206,133
154,570,193,142
150,558,192,129
157,576,201,135
150,563,196,134
158,545,182,124
159,590,200,139
153,566,198,137
149,558,193,128
154,565,195,141
152,558,195,131
152,574,197,134
144,545,193,134
161,590,201,138
144,556,197,131
155,576,199,136
149,564,194,128
161,622,215,134
148,567,202,137
151,553,193,123
160,567,192,124
152,584,207,139
152,574,201,129
141,564,206,131
163,585,203,124
150,560,199,127
163,575,198,135
145,577,205,132
148,577,203,133
155,594,213,135
150,546,188,117
158,598,209,127
147,540,196,128
