iter	RMSE
0	7.182288002
1	6.776777508
2	6.410342387
3	6.085790503
4	5.759176926
5	5.474547124
6	5.224287481
7	4.983233639
8	4.779598395
9	4.612859279
10	4.464777123
11	4.354454036
12	4.23567422
13	4.133896283
14	4.041500218
15	3.97277469
16	3.919943488
17	3.852294388
18	3.799748341
19	3.770609097
20	3.726128728
21	3.695523425
22	3.660830123
23	3.640373915
24	3.613712253
25	3.59300834
26	3.565296466
27	3.55210248
28	3.520009497
29	3.499266736
30	3.487735276
31	3.462746877
32	3.456767292
33	3.443251331
34	3.424884136
35	3.412007678
36	3.402068606
37	3.392858765
38	3.388241453
39	3.380725971
40	3.372667172
41	3.350364626
42	3.337515225
43	3.327691561
44	3.323579254
45	3.319806272
46	3.302118383
47	3.283772952
48	3.268201555
49	3.257761448
50	3.247626513
51	3.236566213
52	3.227792722
53	3.221211335
54	3.211965992
55	3.203445978
56	3.197025231
57	3.1933879
58	3.180370479
59	3.178545305
60	3.163312025
61	3.156263154
62	3.150353253
63	3.14554121
64	3.132590373
65	3.126996451
66	3.116660877
67	3.108103736
68	3.102459467
69	3.095419147
70	3.082656637
71	3.072732355
72	3.062819797
73	3.059602735
74	3.054632535
75	3.045700553
76	3.042769441
77	3.034382609
78	3.030185464
79	3.018159119
80	3.014976689
81	3.008275899
82	2.999615527
83	2.996924941
84	2.987929494
85	2.985204637
86	2.978770994
87	2.975346089
88	2.963215212
89	2.959024599
90	2.956375917
91	2.948707909
92	2.938811731
93	2.937640513
94	2.93426628
95	2.922618453
96	2.91451505
97	2.899554594
98	2.892505936
99	2.889961565
